GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P09923	ALPI	enables	GO:0004035	alkaline phosphatase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0283479|FB:FBgn0283480|MGI:MGI:108009|MGI:MGI:87983|PANTHER:PTN000174527|PomBase:SPBC14F5.13c|RGD:2099|RGD:2100|RGD:621650|SGD:S000002889|UniProtKB:P00634|UniProtKB:P05186|UniProtKB:P05187|UniProtKB:P09487|UniProtKB:P10696|UniProtKB:P51740|UniProtKB:Q92058|ZFIN:ZDB-GENE-040420-1|dictyBase:DDB_G0278495	9606	Homo sapiens	GO_Central	Intestinal-type alkaline phosphatase	20260528
UniProtKB	P09923	ALPI	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:87983|PANTHER:PTN000904735|RGD:2099|RGD:621650|UniProtKB:P05186|UniProtKB:P51740	9606	Homo sapiens	GO_Central	Intestinal-type alkaline phosphatase	20260528
UniProtKB	P09923	ALPI	enables	GO:0004035	alkaline phosphatase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:3.1.3.1	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20260727
UniProtKB	P09923	ALPI	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20260727
UniProtKB	P09923	ALPI	enables	GO:0016791	phosphatase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001952|InterPro:IPR018299	9606	Homo sapiens	InterPro	Intestinal-type alkaline phosphatase	20260727
UniProtKB	P09923	ALPI	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P60410	9606	Homo sapiens	IntAct	Intestinal-type alkaline phosphatase	20260725
UniProtKB	P09923	ALPI	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P60411	9606	Homo sapiens	IntAct	Intestinal-type alkaline phosphatase	20260725
UniProtKB	P09923	ALPI	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q7Z3S9	9606	Homo sapiens	IntAct	Intestinal-type alkaline phosphatase	20260725
UniProtKB	P09923	ALPI	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:31515488	UniProtKB:Q7Z3S9	9606	Homo sapiens	IntAct	Intestinal-type alkaline phosphatase	20260725
UniProtKB	P09923	ALPI	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P15693	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20210730
UniProtKB	P09923	ALPI	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-8940388		9606	Homo sapiens	Reactome	Intestinal-type alkaline phosphatase	20161025
UniProtKB	P09923	ALPI	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-8940388		9606	Homo sapiens	Reactome	Intestinal-type alkaline phosphatase	20160927
UniProtKB	P09923	ALPI	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-8878787		9606	Homo sapiens	Reactome	Intestinal-type alkaline phosphatase	20160716
UniProtKB	P09923	ALPI	enables	GO:0002020	protease binding	molecular_function	ECO:0000353	IPI	PMID:18307834	UniProtKB:P80067	9606	Homo sapiens	ParkinsonsUK-UCL	Intestinal-type alkaline phosphatase	20140522
UniProtKB	P09923	ALPI	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P15693	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20131219
UniProtKB	P09923	ALPI	enables	GO:0004035	alkaline phosphatase activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P15693	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20131219
UniProtKB	P09923	ALPI	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P15693	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20131219
UniProtKB	P09923	ALPI	involved_in	GO:0016311	dephosphorylation	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P15693	9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20131219
UniProtKB	P09923	ALPI	enables	GO:0004035	alkaline phosphatase activity	molecular_function	ECO:0000303	NAS	PMID:2841341		9606	Homo sapiens	UniProt	Intestinal-type alkaline phosphatase	20020605
