GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9Y6D5	ARFGEF2	is_active_in	GO:0005802	trans-Golgi network	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0028538|PANTHER:PTN002240728|RGD:1560793|RGD:631430	9606	Homo sapiens	GO_Central	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20250806
UniProtKB	Q9Y6D5	ARFGEF2	involved_in	GO:0006893	Golgi to plasma membrane transport	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002580165|UniProtKB:Q9Y6D5	9606	Homo sapiens	GO_Central	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20250806
UniProtKB	Q9Y6D5	ARFGEF2	involved_in	GO:0007032	endosome organization	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002580165|UniProtKB:Q9Y6D5	9606	Homo sapiens	GO_Central	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20250806
UniProtKB	Q9Y6D5	ARFGEF2	enables	GO:0005085	guanyl-nucleotide exchange factor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G13980|FB:FBgn0028538|FB:FBgn0264560|MGI:MGI:1334257|MGI:MGI:1918215|PANTHER:PTN008950430|PomBase:SPAC11E3.11c|SGD:S000000748|SGD:S000002577|SGD:S000003792|SGD:S000005241|SGD:S000006299|UniProtKB:A5PKW4|UniProtKB:O43739|UniProtKB:Q15438|UniProtKB:Q5JU85|UniProtKB:Q9UIA0|UniProtKB:Q9Y6D5|UniProtKB:Q9Y6D6	9606	Homo sapiens	GO_Central	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20250326
UniProtKB	Q9Y6D5	ARFGEF2	enables	GO:0005085	guanyl-nucleotide exchange factor activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028188|InterPro:IPR000904|InterPro:IPR035999	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0005768	endosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0101	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028708|UniProtKB-SubCell:SL-0132	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0005813	centrosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0048	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0005856	cytoskeleton	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0090	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	involved_in	GO:0010256	endomembrane system organization	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026889	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0016020	membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0030425	dendrite	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0283	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0031410	cytoplasmic vesicle	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q7TSU1|ensembl:ENSRNOP00000010054|UniProtKB-SubCell:SL-0088	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	involved_in	GO:0032012	regulation of ARF protein signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000904|InterPro:IPR035999	9606	Homo sapiens	InterPro	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	enables	GO:0034237	protein kinase A regulatory subunit binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00090632	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0045202	synapse	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0258	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	located_in	GO:0048471	perinuclear region of cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0198	9606	Homo sapiens	UniProt	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260727
UniProtKB	Q9Y6D5	ARFGEF2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:10716990	UniProtKB:Q9Y6D6	9606	Homo sapiens	IntAct	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260725
UniProtKB	Q9Y6D5	ARFGEF2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15705715	UniProtKB:Q9UPT5-1	9606	Homo sapiens	IntAct	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260725
UniProtKB	Q9Y6D5	ARFGEF2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16866877	UniProtKB:Q99417	9606	Homo sapiens	IntAct	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	20260725
