GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P19099	CYP11B2	involved_in	GO:0006704	glucocorticoid biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88583|PANTHER:PTN001547321|RGD:2453|RGD:2454|RGD:727886|UniProtKB:P15538|ZFIN:ZDB-GENE-130911-1	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20260529
UniProtKB	P19099	CYP11B2	involved_in	GO:0034650	cortisol metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88583|PANTHER:PTN001547321|RGD:2453|UniProtKB:P15538|ZFIN:ZDB-GENE-130911-1	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20260529
UniProtKB	P19099	CYP11B2	enables	GO:0004507	steroid 11-beta-monooxygenase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88583|MGI:MGI:88584|PANTHER:PTN001547324|RGD:2453|RGD:2454|RGD:727886|UniProtKB:P15538|UniProtKB:P19099	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20251220
UniProtKB	P19099	CYP11B2	is_active_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88583|PANTHER:PTN001547321|RGD:69325	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20251220
UniProtKB	P19099	CYP11B2	involved_in	GO:0032342	aldosterone biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88584|PANTHER:PTN001547324|RGD:2453|RGD:2454|RGD:727886|UniProtKB:P15538|UniProtKB:P19099	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20250903
UniProtKB	P19099	CYP11B2	involved_in	GO:0071375	cellular response to peptide hormone stimulus	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001547321|RGD:2454|RGD:69325|RGD:727886	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20250903
UniProtKB	P19099	CYP11B2	involved_in	GO:0008203	cholesterol metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001547321|UniProtKB:P00189|UniProtKB:P05108	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20221008
UniProtKB	P19099	CYP11B2	enables	GO:0047783	corticosterone 18-monooxygenase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88583|PANTHER:PTN001547324|RGD:2454|RGD:727886	9606	Homo sapiens	GO_Central	Cytochrome P450 11B2, mitochondrial	20170228
UniProtKB	P19099	CYP11B2	enables	GO:0004497	monooxygenase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001128|InterPro:IPR002399|InterPro:IPR036396	9606	Homo sapiens	InterPro	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	enables	GO:0004507	steroid 11-beta-monooxygenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029264|RHEA:15629|RHEA:46100|RHEA:46104|RHEA:84067|EC:1.14.15.4	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	enables	GO:0005506	iron ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001128|InterPro:IPR002399|InterPro:IPR017972|InterPro:IPR036396	9606	Homo sapiens	InterPro	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026962|InterPro:IPR002399	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0168	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	involved_in	GO:0016125	sterol metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00034378	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	enables	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001128|InterPro:IPR002399|InterPro:IPR017972|InterPro:IPR036396	9606	Homo sapiens	InterPro	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	enables	GO:0020037	heme binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026797|InterPro:IPR001128|InterPro:IPR002399|InterPro:IPR036396	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	involved_in	GO:0032342	aldosterone biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00095220	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	enables	GO:0047783	corticosterone 18-monooxygenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:11872|EC:1.14.15.5	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20260706
UniProtKB	P19099	CYP11B2	involved_in	GO:0006705	mineralocorticoid biosynthetic process	biological_process	ECO:0000304	TAS	Reactome:R-HSA-193993		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20260316
UniProtKB	P19099	CYP11B2	involved_in	GO:0016125	sterol metabolic process	biological_process	ECO:0000304	TAS	Reactome:R-HSA-211976		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20260316
UniProtKB	P19099	CYP11B2	enables	GO:0004507	steroid 11-beta-monooxygenase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-194017		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20260222
UniProtKB	P19099	CYP11B2	enables	GO:0004507	steroid 11-beta-monooxygenase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-5600598		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20260222
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P14137	9606	Homo sapiens	UniProt	Cytochrome P450 11B2, mitochondrial	20240916
UniProtKB	P19099	CYP11B2	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0006056	HTP	PMID:34800366		9606	Homo sapiens	FlyBase	Cytochrome P450 11B2, mitochondrial	20240711
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-5600598		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20230318
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-6785244		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20230318
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-6785245		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20230318
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-193965		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20200817
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-193995		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20200817
UniProtKB	P19099	CYP11B2	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-194017		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20200817
UniProtKB	P19099	CYP11B2	enables	GO:0008395	steroid hydroxylase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-193965		9606	Homo sapiens	Reactome	Cytochrome P450 11B2, mitochondrial	20200515
