GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O94898	LRIG2	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0034476|MGI:MGI:107935|MGI:MGI:1333744|MGI:MGI:1915522|MGI:MGI:2177651|MGI:MGI:2389177|MGI:MGI:2389180|MGI:MGI:2442479|MGI:MGI:3608416|PANTHER:PTN001224703|RGD:1560707|RGD:1585921|RGD:727797|UniProtKB:O15455|UniProtKB:P07359|UniProtKB:Q14392|UniProtKB:Q86UE6|UniProtKB:Q86UN2|UniProtKB:Q86UN3|UniProtKB:Q8TF66|UniProtKB:Q96FE5|UniProtKB:Q96JA1|UniProtKB:Q99467|WB:WBGene00020649	9606	Homo sapiens	GO_Central	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260529
UniProtKB	O94898	LRIG2	enables	GO:0038023	signaling receptor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0034476|PANTHER:PTN002809265|RGD:727797|UniProtKB:O15455|UniProtKB:Q86UN2|UniProtKB:Q86UN3|UniProtKB:Q99467	9606	Homo sapiens	GO_Central	Leucine-rich repeats and immunoglobulin-like domains protein 2	20250904
UniProtKB	O94898	LRIG2	involved_in	GO:0007605	sensory perception of sound	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:107935|MGI:MGI:2443718|PANTHER:PTN009094493	9606	Homo sapiens	GO_Central	Leucine-rich repeats and immunoglobulin-like domains protein 2	20250327
UniProtKB	O94898	LRIG2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260727
UniProtKB	O94898	LRIG2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260727
UniProtKB	O94898	LRIG2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25353163	UniProtKB:P00533	9606	Homo sapiens	IntAct	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260725
UniProtKB	O94898	LRIG2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:30015847	UniProtKB:P09619	9606	Homo sapiens	IntAct	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260725
UniProtKB	O94898	LRIG2	enables	GO:0005102	signaling receptor binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q52KR2|ensembl:ENSMUSP00000035999	9606	Homo sapiens	Ensembl	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260724
UniProtKB	O94898	LRIG2	located_in	GO:0016020	membrane	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q52KR2|ensembl:ENSMUSP00000035999	9606	Homo sapiens	Ensembl	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260724
UniProtKB	O94898	LRIG2	located_in	GO:0030426	growth cone	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q52KR2|ensembl:ENSMUSP00000035999	9606	Homo sapiens	Ensembl	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260724
UniProtKB	O94898	LRIG2	located_in	GO:0097708	intracellular vesicle	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q52KR2|ensembl:ENSMUSP00000035999	9606	Homo sapiens	Ensembl	Leucine-rich repeats and immunoglobulin-like domains protein 2	20260724
