GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8WVT3	TRAPPC12	is_active_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0037022|PANTHER:PTN000330384|UniProtKB:Q8WVT3	9606	Homo sapiens	GO_Central	Trafficking protein particle complex subunit 12	20210113
UniProtKB	Q8WVT3	TRAPPC12	part_of	GO:0030008	TRAPP complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0037022|PANTHER:PTN000330384|UniProtKB:Q8WVT3	9606	Homo sapiens	GO_Central	Trafficking protein particle complex subunit 12	20210113
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20260428
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0098	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20260428
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:I6L957	9606	Homo sapiens	IntAct	Trafficking protein particle complex subunit 12	20260425
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O00327-8	9606	Homo sapiens	IntAct	Trafficking protein particle complex subunit 12	20260425
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96LW2	9606	Homo sapiens	IntAct	Trafficking protein particle complex subunit 12	20260425
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9HAP6	9606	Homo sapiens	IntAct	Trafficking protein particle complex subunit 12	20260425
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0005547	NAS	PMID:27066478		9606	Homo sapiens	ComplexPortal	Trafficking protein particle complex subunit 12	20251229
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	biological_process	ECO:0005547	NAS	PMID:27066478		9606	Homo sapiens	ComplexPortal	Trafficking protein particle complex subunit 12	20251229
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0048208	COPII vesicle coat assembly	biological_process	ECO:0005547	NAS	PMID:27066478		9606	Homo sapiens	ComplexPortal	Trafficking protein particle complex subunit 12	20251229
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0099022	obsolete vesicle tethering	biological_process	ECO:0005547	NAS	PMID:27066478		9606	Homo sapiens	ComplexPortal	Trafficking protein particle complex subunit 12	20251229
UniProtKB	Q8WVT3	TRAPPC12	part_of	GO:1990072	TRAPPIII protein complex	cellular_component	ECO:0005547	NAS	PMID:27066478		9606	Homo sapiens	ComplexPortal	Trafficking protein particle complex subunit 12	20251229
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Trafficking protein particle complex subunit 12	20251115
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Trafficking protein particle complex subunit 12	20251115
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21525244	UniProtKB:P48553|UniProtKB:Q7Z392	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170628
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21525244	UniProtKB:Q5T215	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170628
UniProtKB	Q8WVT3	TRAPPC12	colocalizes_with	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	cellular_component	ECO:0000315	IMP	PMID:21525244		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170628
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	biological_process	ECO:0000315	IMP	PMID:21525244		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170628
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0007030	Golgi organization	biological_process	ECO:0000315	IMP	PMID:21525244		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170628
UniProtKB	Q8WVT3	TRAPPC12	colocalizes_with	GO:0048471	perinuclear region of cytoplasm	cellular_component	ECO:0000315	IMP	PMID:21525244		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170628
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21525244	UniProtKB:O43617|UniProtKB:P0DI81|UniProtKB:P48553|UniProtKB:Q7Z392|UniProtKB:Q9UL33|UniProtKB:Q9Y2L5	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170627
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21525244	UniProtKB:O43617|UniProtKB:P0DI81|UniProtKB:Q7Z392|UniProtKB:Q9UL33	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170627
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21525244	UniProtKB:P0DI81|UniProtKB:P48553|UniProtKB:Q7Z392|UniProtKB:Q96Q05|UniProtKB:Q9Y2L5	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170627
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21525244	UniProtKB:P48553|UniProtKB:Q7Z392|UniProtKB:Q96Q05|UniProtKB:Q9UL33|UniProtKB:Q9Y2L5	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170627
UniProtKB	Q8WVT3	TRAPPC12	part_of	GO:0030008	TRAPP complex	cellular_component	ECO:0000314	IDA	PMID:21525244		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20170627
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0000776	kinetochore	cellular_component	ECO:0000314	IDA	PMID:25918224		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20160909
UniProtKB	Q8WVT3	TRAPPC12	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25918224	UniProtKB:Q02224	9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20160909
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:25918224		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20160909
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0051310	metaphase chromosome alignment	biological_process	ECO:0000315	IMP	PMID:25918224		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20160909
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:0090234	regulation of kinetochore assembly	biological_process	ECO:0000315	IMP	PMID:25918224		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20160909
UniProtKB	Q8WVT3	TRAPPC12	involved_in	GO:1905342	positive regulation of protein localization to kinetochore	biological_process	ECO:0000315	IMP	PMID:25918224		9606	Homo sapiens	UniProt	Trafficking protein particle complex subunit 12	20160909
UniProtKB	Q8WVT3	TRAPPC12	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-8877475		9606	Homo sapiens	Reactome	Trafficking protein particle complex subunit 12	20160804
